Section 8: Prejudice — GameSpy ATLAS stat keyid -> name (from S9Game.u ColumnMappings/ColumnIds)
Id (keyid) is what appears in the SC SubmitReport blob and OnlineStats. '_Date' companion = FILETIME.

### S9Game.u  ViewId=1  columns=988
    2041  0x07f9  Badge_Date_B20
    2042  0x07fa  Badge_B21
    2043  0x07fb  Badge_Date_B21
    2044  0x07fc  Badge_B22
    2045  0x07fd  Badge_Date_B22
    2046  0x07fe  Badge_B23
    2047  0x07ff  Badge_Date_B23
    2048  0x0800  Badge_B24
    2049  0x0801  Badge_Date_B24
    2050  0x0802  Badge_B25
    2051  0x0803  Badge_Date_B25
    2052  0x0804  Badge_B26
    2053  0x0805  Badge_Date_B26
    2054  0x0806  Badge_B27
    2055  0x0807  Badge_Date_B27
    2056  0x0808  Badge_B28
    2057  0x0809  Badge_Date_B28
    2058  0x080a  Badge_B29
    2059  0x080b  Badge_Date_B29
    2060  0x080c  Badge_B30
    2061  0x080d  Badge_Date_B30
    2062  0x080e  Badge_B31
    2063  0x080f  Badge_Date_B31
    2500  0x09c4  ClanTag
    2501  0x09c5  Locale
     692  0x02b4  Kills_G16
     693  0x02b5  TimePlayed_G16
     694  0x02b6  Destruction_G16
     695  0x02b7  KillsIAL_G16
     696  0x02b8  DamageIAL_G16
     697  0x02b9  DestructionIAL_G16
     698  0x02ba  Kills_Date_G16
     699  0x02bb  TimePlayed_Date_G16
     700  0x02bc  KillsIAL_Date_G16
     701  0x02bd  DamageIAL_Date_G16
     702  0x02be  DestructionIAL_Date_G16
     703  0x02bf  Destruction_Date_G16
     704  0x02c0  Kills_G17
     705  0x02c1  TimePlayed_G17
     706  0x02c2  Destruction_G17
     707  0x02c3  KillsIAL_G17
     708  0x02c4  DamageIAL_G17
     709  0x02c5  DestructionIAL_G17
     710  0x02c6  Kills_Date_G17
     711  0x02c7  TimePlayed_Date_G17
     712  0x02c8  KillsIAL_Date_G17
     713  0x02c9  DamageIAL_Date_G17
     714  0x02ca  DestructionIAL_Date_G17
     715  0x02cb  Destruction_Date_G17
     716  0x02cc  Kills_G18
     717  0x02cd  TimePlayed_G18
     718  0x02ce  Destruction_G18
     719  0x02cf  KillsIAL_G18
     720  0x02d0  DamageIAL_G18
     721  0x02d1  DestructionIAL_G18
     722  0x02d2  Kills_Date_G18
     723  0x02d3  TimePlayed_Date_G18
     724  0x02d4  KillsIAL_Date_G18
